RR;ETPP;TMC;RG;date;Time;PARi
0;0;-2.8;300.70011621803;01/01/1993;1;1.44336055784654
0;1;-2.3;751;02/01/1993;2;3.6048
0;0.4;-6.7;711;03/01/1993;3;3.4128
0;0.4;-5.4;541;04/01/1993;4;2.5968
0;0.6;-0.5;430;05/01/1993;5;2.064
0;0.584491672116088;5;492;06/01/1993;6;2.3616
0;0;4.8;505;07/01/1993;7;2.424
0.2;0.0595594525052431;3;84;08/01/1993;8;0.4032
0;0.302144598207213;1.6;385;09/01/1993;9;1.848
0.2;0.6;4.2;565;10/01/1993;10;2.712
0.4;1.1;7.1;181;11/01/1993;11;0.8688
8.6;0.147987470363011;6.5;62;12/01/1993;12;0.2976
0;0.1;6.7;511;13/01/1993;13;2.4528
2;0.263907989650263;6.1;171;14/01/1993;14;0.8208
0;0.8;7.9;709;15/01/1993;15;3.4032
0;1.6;6.6;770;16/01/1993;16;3.696
0;0.973314105279054;5.3;819;17/01/1993;17;3.9312
0;0.807243896917204;3.3;792;18/01/1993;18;3.8016
0;0.353478789983388;2.1;413;19/01/1993;19;1.9824
0;0.1;2.2;438;20/01/1993;20;2.1024
0;0;4.7;781;21/01/1993;21;3.7488
0;0.745726083326748;2;819;22/01/1993;22;3.9312
2;0.129684740275128;2.4;174;23/01/1993;23;0.8352
3;0.0993239872424163;3.6;103;24/01/1993;24;0.4944
4.8;0.26611854229113;2.6;302;25/01/1993;25;1.4496
0.4;0.3;-2.2;802;26/01/1993;26;3.8496
1.2;0;-1.1;98;27/01/1993;27;0.4704
0;0.392040757272924;1.8;468;28/01/1993;28;2.2464
0;0.5;3.4;773;29/01/1993;29;3.7104
0;1.3;6;923;30/01/1993;30;4.4304
0;0.5;3.5;336;31/01/1993;31;1.6128
0;0.9;2.7;993;01/02/1993;32;4.7664
0;1.2;3.8;1033;02/02/1993;33;4.9584
0;1.5;4.8;1009;03/02/1993;34;4.8432
0;2.2;3.5;756;04/02/1993;35;3.6288
0;1.4;3.5;861;05/02/1993;36;4.1328
0;1.1;4.2;752;06/02/1993;37;3.6096
0;1.2;2.8;1098;07/02/1993;38;5.2704
0;1.1;4.7;859;08/02/1993;39;4.1232
0;0.6;4.3;521;09/02/1993;40;2.5008
0;0.5;3.8;611;10/02/1993;41;2.9328
0;1.1;5.2;874;11/02/1993;42;4.1952
0;1.3;3.8;1203;12/02/1993;43;5.7744
0;1;3.7;1190;13/02/1993;44;5.712
0;1.1;2.8;1250;14/02/1993;45;6
0;1;0.3;1278;15/02/1993;46;6.1344
0;0.8;0.6;529;16/02/1993;47;2.5392
0;0.5;-0.3;800;17/02/1993;48;3.84
0;0.7;1.3;1043;18/02/1993;49;5.0064
0;0;-2.4;195;19/02/1993;50;0.936
0;0.8;-0.6;750;20/02/1993;51;3.6
1.6;0.2;-2.9;225;21/02/1993;52;1.08
0.2;0.4;-5.2;804;22/02/1993;53;3.8592
3;0.5;-6.1;1131;23/02/1993;54;5.4288
0;0.6;-10.2;1457;24/02/1993;55;6.9936
0;0.7;-9.2;1550;25/02/1993;56;7.44
1;0.7;-6.1;1331;26/02/1993;57;6.3888
2;0.6;-2;1166;27/02/1993;58;5.5968
2;0.4;-6.3;753;28/02/1993;59;3.6144
0;0.6;-4;631;01/03/1993;60;3.0288
0;0.6;-0.1;861;02/03/1993;61;4.1328
0;0;-2.5;223;03/03/1993;62;1.0704
0;0.5;-4.5;882;04/03/1993;63;4.2336
0;1.2;-4.4;1675;05/03/1993;64;8.04
0;0.9;-3.5;1329;06/03/1993;65;6.3792
0;1.27482473150977;1.1;1452;07/03/1993;66;6.9696
0;1.8;2.5;1784;08/03/1993;67;8.5632
0;1.6;2.8;1416;09/03/1993;68;6.7968
0;1.9;2.6;1713;10/03/1993;69;8.2224
0;1.9;3.6;1691;11/03/1993;70;8.1168
0;1.7;3.1;1721;12/03/1993;71;8.2608
0;0.9;2.6;647;13/03/1993;72;3.1056
0;1.7;5.4;1266;14/03/1993;73;6.0768
1.6;1.7;7;1308;15/03/1993;74;6.2784
0;1.4;6.1;1653;16/03/1993;75;7.9344
0;1.9;7.7;1736;17/03/1993;76;8.3328
0;2.9;9.6;1941;18/03/1993;77;9.3168
0;2.3;8.7;1637;19/03/1993;78;7.8576
0;2.6;10.6;1559;20/03/1993;79;7.4832
4.2;0.855520833403861;9;537;21/03/1993;80;2.5776
6.4;0.34296167939127;6.1;238;22/03/1993;81;1.1424
4.2;0.762004558376065;5.2;639;23/03/1993;82;3.0672
0;1.1;1.1;722;24/03/1993;83;3.4656
0.2;1.5;-0.7;1209;25/03/1993;84;5.8032
0;1.3;-2.5;1479;26/03/1993;85;7.0992
0;1.9;-2;2190;27/03/1993;86;10.512
0;2.1;0.8;1935;28/03/1993;87;9.288
0;1.7;0.6;1904;29/03/1993;88;9.1392
0;2.2;6.6;2145;30/03/1993;89;10.296
0;3.2;8.8;2101;31/03/1993;90;10.0848
9.2;0.545493438389226;2.8;568;01/04/1993;91;2.7264
0;1.35325251289013;0.8;1570;02/04/1993;92;7.536
3.6;1.7;0.7;2017;03/04/1993;93;9.6816
0.4;2.1;3.2;1812;04/04/1993;94;8.6976
11.4;0.621039151218177;3.2;619;05/04/1993;95;2.9712
20;0.610454898775382;6.8;435;06/04/1993;96;2.088
10.4;0.531522502993036;6.8;370;07/04/1993;97;1.776
0;2;8.2;1806;08/04/1993;98;8.6688
